ath:ArthCp068	PF00361
ath:AT4G38150	PF01535,PF12854,PF13041,PF13812
ath:AT4G30870	PF02732
ath:AT4G12500	PF00234,PF14547
ath:AT1G05700	PF00069,PF00560,PF01636,PF07714,PF11721,PF12799,PF12819,PF13516,PF13855
ath:AT2G34710	PF00046,PF00170,PF01852,PF05920,PF08670
ath:AT2G43700	PF00069,PF00139,PF01636,PF01771,PF07714
ath:ArthCp069	PF00177
ath:AT1G19940	PF00759,PF05473,PF14080,PF14575
ath:AT5G64740	PF02318,PF03552,PF13632,PF13641,PF14446,PF14569,PF14570
ath:AT4G26740	PF05042
ath:AT4G11170	PF00004,PF00005,PF00931,PF01582,PF01637,PF05729,PF07725,PF08937,PF09681,PF12799,PF13173,PF13191,PF13207,PF13238,PF13401,PF13521,PF13604,PF13676,PF13855
ath:AT1G53530	PF00717,PF10502
ath:AT2G15010	PF00321
ath:AT1G21245	PF00069,PF07714
ath:AT2G33380	PF05042
ath:AT5G38920	PF00075,PF13456
ath:AT5G01660	PF01344,PF07646,PF10539,PF12329,PF13415,PF13418,PF13854,PF13964
ath:AT3G53010	PF03629
ath:AT3G18200	PF00892,PF03151,PF07332,PF07843,PF13536
ath:AT3G23870	PF00892,PF05653,PF13536
ath:AT1G12140	PF00070,PF00743,PF00890,PF01134,PF01210,PF01262,PF01266,PF01488,PF01494,PF01593,PF01946,PF02254,PF02558,PF03446,PF03486,PF03721,PF05834,PF07991,PF07992,PF10055,PF10727,PF12831,PF13434,PF13450,PF13454,PF13460,PF13738
ath:AT2G07560	PF00122,PF00690,PF00702,PF08282,PF12710,PF13246
ath:AT3G05500	PF05755
ath:AT1G75220	PF00083,PF07690
ath:AT5G23350	PF02893
ath:AT5G14360	PF00240,PF11976,PF14560
ath:AT3G45560	PF00097,PF07126,PF12678,PF13456,PF13639,PF13923,PF14634
ath:AT3G13275	PF11772
ath:AT1G63810	PF03813
ath:AT1G67770	PF00076,PF04059,PF06153,PF13893,PF14259
ath:AT2G29250	PF00069,PF00139,PF07714
ath:AT1G09665	PF01582,PF13676
ath:AT1G49400	PF00366
ath:AT3G19740	PF00004,PF00910,PF01078,PF01695,PF02367,PF02562,PF05496,PF06068,PF06414,PF07726,PF07728,PF13173,PF13191,PF13207,PF13238,PF13245,PF13401,PF13479,PF13481,PF13521,PF13671,PF14532
ath:AT1G04690	PF00248
ath:AT5G37590	PF00515,PF07394,PF07719,PF13176,PF13181,PF13374,PF13414,PF13424,PF13431,PF13432,PF14559
ath:AT4G33180	PF00326,PF00561,PF00756,PF00975,PF02129,PF09752,PF11144,PF12695,PF12697
ath:AT1G08010	PF00320
ath:AT3G04170	PF00190,PF07883
ath:AT1G26380	PF01565,PF08031
ath:AT3G55840	PF07014,PF07231
ath:AT5G41400	PF00097,PF03893,PF05883,PF11789,PF11793,PF12678,PF12861,PF12906,PF12907,PF13445,PF13639,PF13920,PF13923,PF14446,PF14447,PF14570,PF14634,PF14835,PF15227
